id,kind,paper_label,status,evidence_lanes,source_member_count,all_source_members_present,generated_artifact_count,all_generated_artifacts_present,requires,blocking_requirements,status_terminal,public_terminal
O14,empirical_table,tab:most_common_triples,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O15,empirical_table,tab:most_common_triples_by_index,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O16,empirical_figure,fig.pattern_categories_per_turns,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O17,empirical_figure,fig.actions_per_turn_density,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O18,empirical_figure,fig.actions_per_turn_norm,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O19,empirical_figure,fig.failed_edits_per_traj,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,2,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O20,empirical_figure,fig.prob_good_edit_given_n_fails,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O21,empirical_figure,fig:transition_probs,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O22,empirical_figure,fig:transition_probs_2gram,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O23,empirical_figure,fig:transition_probs_3gram,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O24,empirical_figure,fig:transition_probs_4gram,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O25,empirical_table,tab:appx:failure_categories,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,1,True,1,True,G_MODEL_FAILURE_LABELER;G_OFFICIAL_ARTIFACTS,G_MODEL_FAILURE_LABELER;G_OFFICIAL_ARTIFACTS,True,True
O26,empirical_table,tab:passk,SOURCE_AGGREGATE_REBUILT_RAW_INPUT_BLOCKED,source,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O27,empirical_table,tab.appx_tables.patch_stats_basic,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O28,empirical_figure,fig.humanevalfix_dist_of_turns,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS;G_HUMANEVAL_LANGUAGE,G_OFFICIAL_ARTIFACTS,True,True
O29,descriptive_table,tab:datasets_info,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O30,empirical_table,tab:appx:exit_conditions,ARTIFACT_RECOMPUTED_WITH_DOCUMENTED_GAP,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O31,interface_table,tab:commands,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O32,interface_figure,fig.trajectory_overview,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O33,interface_figure,fig.appx.swe_agent_components,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O34,prompt_figure,fig.prompt_flow,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O35,prompt_box,fig.prompts.linting,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O36,prompt_box,fig.prompts.example_configuration,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_EXACT_RUNTIME_PROMPTS,G_EXACT_RUNTIME_PROMPTS,True,True
O37,prompt_box,fig.prompts.system,ARTIFACT_AUDITED,source;artifact,1,True,2,True,G_EXACT_RUNTIME_PROMPTS,G_EXACT_RUNTIME_PROMPTS,True,True
O38,prompt_box,fig.prompts.demonstration,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_EXACT_RUNTIME_PROMPTS,G_EXACT_RUNTIME_PROMPTS,True,True
O39,prompt_box,fig.prompts.instance,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_EXACT_RUNTIME_PROMPTS,G_EXACT_RUNTIME_PROMPTS,True,True
O40,prompt_box,fig.prompts.next_step,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O41,prompt_box,fig.prompts.collapsed_obs,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_EXACT_RUNTIME_PROMPTS,G_EXACT_RUNTIME_PROMPTS,True,True
O42,prompt_box,fig.prompts.error,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O43,interface_figure,fig.interface.command_skeleton,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O44,interface_figure,fig:appx:file_viewer,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O45,interface_figure,fig:appx:file_search,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O46,qualitative_case,qualitative:psf__requests-2317,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O47,qualitative_case,qualitative:pylint-dev__pylint-5859,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O48,qualitative_case,qualitative:sympy__sympy-21614,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O49,qualitative_case,qualitative:django__django-14411,ARTIFACT_RECOMPUTED_EXACT,source;artifact,1,True,2,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O50,conceptual_figure,fig:teaser,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O51,conceptual_figure,fig:aci-hci,SOURCE_ASSET_VERIFIED,source,1,True,0,True,,,True,True
O52,interface_subfigure,fig:sub_viewer,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O53,interface_subfigure,fig:sub_editor,ARTIFACT_AUDITED,source;artifact,1,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
O54,interface_figure,fig:viewer_and_editor,ARTIFACT_AUDITED,source;artifact,3,True,1,True,G_OFFICIAL_ARTIFACTS,G_OFFICIAL_ARTIFACTS,True,True
