instance_id,turn,action_name,action,action_sha256,paper_action_exact
sympy__sympy-21614,12,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,13,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,14,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,15,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,16,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,17,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,18,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,19,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,20,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,21,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,22,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,23,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,24,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,25,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,26,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,27,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,28,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,29,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,30,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,31,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,32,scroll_down,scroll_down,02cb58415a97c7e53949c72d305051584e21d3da0ebf770a8a51a6a7525da64a,True
sympy__sympy-21614,33,exit_cost,exit_cost,d36c74f184b7045f728d8665bc2012a47b1858a49c6316d331c292236c12b4c3,True
django__django-14411,1,find_file,"find_file ""ReadOnlyPasswordHashWidget""",5ef3c822e41d7f6f8beb7ffefb8eb3d71a3e2875d658ef3a08a994db43090c03,True
django__django-14411,2,search_dir,"search_dir ""ReadOnlyPasswordHashWidget""",56636c1ce99d75e3f7f5dccb03287ac288e12fad81abc4fe66e11ad197a763ea,True
django__django-14411,3,open,open django/contrib/admin/helpers.py,f52bcc966096ba2bb421ea29c21cba3ed74d587b9588c1d85a7f125de3e9273c,True
django__django-14411,4,search_file,"search_file ""ReadOnlyPasswordHashWidget""",d37813b2f8ede28d477da1c4f02ce3773e969116e49876dc7a289ecd9cb9c72a,True
django__django-14411,5,goto,goto 215,eeb54afd070064b0013c28649b7fca1b5b17d6a0880dc003671e7e6097673821,True
django__django-14411,6,search_file,"search_file ""label""",9ebf8caa7932627e71c9d0ea1c8487636c36be3c4a5beccda19cfca94594cdf4,True
django__django-14411,7,goto,goto 191,1a39063572e3e77bd86717bb58e1fa5e99a0c2f85eab6858b16529e3f153e201,True
django__django-14411,8,open,open django/contrib/auth/forms.py,75f01059c0f6d367a88f95bba71e82924722f6d3d6b91795f7dc151498f842c2,True
django__django-14411,9,find_file,"find_file ""read_only_password_hash.html""",ffc9ce9693b66c367072fcc225725786ded9aecbbc59e3235bbdd220c2252194,True
django__django-14411,10,open,open django/contrib/auth/templates/auth/widgets/read_only_password_hash.html,43e7f7010bf424ef22ea9931ad0d169446b09aaa793aee5f61f2c89d8b3d5d02,True
django__django-14411,11,open,open django/contrib/auth/forms.py,75f01059c0f6d367a88f95bba71e82924722f6d3d6b91795f7dc151498f842c2,True
django__django-14411,12,search_file,"search_file ""ReadOnlyPasswordHashField""",eec5293fb502966d7c9ba50e81c9b61f79f797e9473c2aaac1e4c7436ba92fde,True
django__django-14411,13,goto,goto 136,67cabf92f0098c4ee47af236acb38eebf2b2c1b592b27ac2704b73a5f5019d9f,True
django__django-14411,14,edit,"edit 54:60
class ReadOnlyPasswordHashField(forms.Field):
    widget = ReadOnlyPasswordHashWidget

    def __init__(self, *args, **kwargs):
        kwargs.setdefault(""required"", False)
        kwargs.setdefault('disabled', True)
        super().__init__(*args, **kwargs)

    def label_tag(self, contents=None, attrs=None, label_suffix=None):
        contents = contents or self.label
        if label_suffix is not None and label_suffix not in contents:
            contents += label_suffix
        widget = self.widget
        id_ = widget.attrs.get('id') or ''
        return format_html('<label{}>{}</label>', format_html_join('', ' {}=""{}""', sorted(attrs.items()) if attrs else ()), contents)
end_of_edit",e9d7dafbeeb10b3241a2c62d360c8a934d0b583111cb3afebe1e98b6d916b7f3,True
django__django-14411,15,edit,"edit 54:60
from django.utils.html import format_html, format_html_join

class ReadOnlyPasswordHashField(forms.Field):
    widget = ReadOnlyPasswordHashWidget

    def __init__(self, *args, **kwargs):
        kwargs.setdefault(""required"", False)
        kwargs.setdefault('disabled', True)
        super().__init__(*args, **kwargs)

    def label_tag(self, contents=None, attrs=None, label_suffix=None):
        contents = contents or self.label
        if label_suffix is not None and label_suffix not in contents:
            contents += label_suffix
        return format_html('<label>{}</label>', contents)
end_of_edit",1020358ac3f83ec8478e6e0931181b0c069e116feea84589ef2a6bb06f9ffa30,True
django__django-14411,16,submit,submit,75490bd7b93e6fa7d18cfdea90cc6bcb983d5f3ea326249d2709ca6c94bc07ba,True
